experiment,dataset,seed,split_id,selection_data_id,code_version,classifier_refit,final_calibration_used_for_selection,final_test_used_for_selection,model,method,target_size,n_features,ranking_source,selection_seed,repetition,subset_frozen_before_final_calibration,phase8_primary_selected,tuning_n_removed,tuning_max_accuracy_loss,tuning_max_coverage_shortfall,tuning_efficiency_gain,tuning_conditional_violation,alpha,scaling,score,raps_lambda,raps_k_reg,subject_id,window_count,accuracy,coverage,mean_size,size_p90,all_features_accuracy,all_features_coverage,all_features_mean_size,all_features_size_p90,accuracy_difference_vs_all,coverage_difference_vs_all,mean_size_difference_vs_all,size_p90_difference_vs_all,mean_size_reduction_vs_all
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,3,341,0.9853372434017597,0.8973607038123167,0.935483870967742,1.0,0.9853372434017597,0.8973607038123167,0.935483870967742,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,7,308,0.9512987012987012,0.935064935064935,1.0162337662337662,1.0,0.9512987012987012,0.935064935064935,1.0162337662337662,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,14,323,0.8142414860681114,0.8018575851393189,1.0526315789473684,2.0,0.8142414860681114,0.8018575851393189,1.0526315789473684,2.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,19,360,0.9416666666666668,0.9277777777777778,1.0166666666666666,1.0,0.9416666666666668,0.9277777777777778,1.0166666666666666,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,44,-1,True,True,,,,,,0.1,base,aps,,,23,372,0.9596774193548387,0.9193548387096774,0.9811827956989247,1.0,0.9596774193548387,0.9193548387096774,0.9811827956989247,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0118920370998755,0.0052864494966632,0.0220119330392489,0.1007917046814299,0.1,base,aps,,,3,341,0.9912023460410556,0.8973607038123167,0.9413489736070382,1.0,0.9853372434017597,0.8973607038123167,0.935483870967742,1.0,0.0058651026392961,0.0,0.0058651026392962,0.0,-0.0058651026392962
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0118920370998755,0.0052864494966632,0.0220119330392489,0.1007917046814299,0.1,base,aps,,,7,308,0.948051948051948,0.9285714285714286,0.9967532467532468,1.0,0.9512987012987012,0.935064935064935,1.0162337662337662,1.0,-0.0032467532467532,-0.0064935064935064,-0.0194805194805194,0.0,0.0194805194805194
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0118920370998755,0.0052864494966632,0.0220119330392489,0.1007917046814299,0.1,base,aps,,,14,323,0.8111455108359134,0.8018575851393189,1.061919504643963,2.0,0.8142414860681114,0.8018575851393189,1.0526315789473684,2.0,-0.003095975232198,0.0,0.0092879256965945,0.0,-0.0092879256965945
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0118920370998755,0.0052864494966632,0.0220119330392489,0.1007917046814299,0.1,base,aps,,,19,360,0.95,0.9305555555555556,1.0,1.0,0.9416666666666668,0.9277777777777778,1.0166666666666666,1.0,0.0083333333333333,0.0027777777777777,-0.0166666666666666,0.0,0.0166666666666666
phase8_human_activity_recognition_seed_44,human_activity_recognition,44,caa1b8bf52be5184,fa9608fa94004240,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,44,-1,True,True,5.0,-0.0118920370998755,0.0052864494966632,0.0220119330392489,0.1007917046814299,0.1,base,aps,,,23,372,0.956989247311828,0.913978494623656,0.9946236559139784,1.0,0.9596774193548387,0.9193548387096774,0.9811827956989247,1.0,-0.0026881720430107,-0.0053763440860215,0.0134408602150537,0.0,-0.0134408602150537
