dataset,model,method,reference_method,metric,positive_direction,target_size_rule,target_size_min,target_size_max,n_pairs,mean_difference,median_difference,standard_deviation,standard_error,ci_lower,ci_upper,cohens_dz,rank_biserial,sign_flip_pvalue,wilcoxon_pvalue,positive_fraction,holm_sign_flip_pvalue,holm_wilcoxon_pvalue
Dry Bean,Small NN,Recursive,SHAP,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0147862494490966,0.0136624063464083,0.0138968254590813,0.0031074246397955,0.0082823349307433,0.0212901639674498,1.064001954448812,0.9649122807017544,3.814697265625e-05,0.0003264782848128,0.85,0.0002670288085937,0.00228534799369
Dry Bean,Small NN,Recursive,SHAP,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0027324812692816,0.001983252534156,0.0045769996291719,0.0010234482303819,0.0005903795046505,0.0048745830339127,0.5970027290074265,0.6263157894736842,0.0164947509765625,0.0165811852593985,0.65,0.0260009765625,0.034355288410788
Dry Bean,Small NN,Recursive,CRFE,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0168576465403262,0.0134420449537243,0.0199299025128707,0.0044564616803722,0.0075301650457581,0.0261851280348942,0.8458469141752952,0.8368421052631579,0.0002212524414062,0.0013701155444246,0.75,0.000762939453125,0.0037289141731423
Dry Bean,Small NN,Recursive,CRFE,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0048920229175848,0.001983252534156,0.006834980821498,0.0015283481741776,0.0016931534255199,0.0080908924096497,0.7157332325202752,0.9421052631578948,4.1961669921875e-05,0.000313961510292,0.85,0.0004196166992187,0.0031396151029204
HAR,LR,One-shot,MI,mean_size,proposed_smaller,matched_within_seed,556,560,20,0.0015426238711434,0.0020533859662189,0.0047184418124377,0.0010550756640488,-0.0006656748729314,0.0037509226152184,0.3269350205987835,0.3238095238095238,0.1590423583984375,0.2161674499511718,0.65,0.954254150390625,1.0
HAR,LR,One-shot,MI,accuracy,proposed_higher,matched_within_seed,556,560,20,0.0006124110468612,0.0008846873970301,0.0029155224719546,0.0006519306437218,-0.0007520954722544,0.001976917565977,0.2100519041620414,0.3567251461988304,0.36083984375,0.1840836935496422,0.6,1.0,1.0
HAR,LR,One-shot,RFE,mean_size,proposed_smaller,matched_within_seed,556,560,20,0.0015652370138782,0.0,0.0054005195942038,0.0012075928926459,-0.0009622839583621,0.0040927579861187,0.2898308184194337,0.2679738562091503,0.2120513916015625,0.3318316080926889,0.45,0.954254150390625,1.0
HAR,LR,One-shot,RFE,accuracy,proposed_higher,matched_within_seed,556,560,20,0.0012861155383343,0.0023357682154116,0.0027684795701517,0.0006190508513178,-9.57278437594875e-06,0.0025818038610445,0.4645566296390623,0.5087719298245614,0.0526962280273437,0.0581665689845035,0.7,0.5269622802734375,0.5816656898450355
HAR,LR,One-shot,CRFE,mean_size,proposed_smaller,matched_within_seed,556,560,20,0.0014440973057168,0.0008848350960826,0.005185076356692,0.001159418320209,-0.0009825931276023,0.003870787739036,0.2785103258610768,0.3263157894736842,0.2291755676269531,0.2122114218560655,0.55,0.954254150390625,1.0
HAR,LR,One-shot,CRFE,accuracy,proposed_higher,matched_within_seed,556,560,20,0.0006542932193322,0.0005870267602876,0.0030193253329145,0.0006751416690584,-0.0007587945341403,0.0020673809728048,0.2167017950002432,0.2418300653594771,0.335845947265625,0.3811632511856291,0.55,1.0,1.0
HAR,LR,One-shot,Permutation,mean_size,proposed_smaller,matched_within_seed,556,560,20,0.0020572024827468,0.0020596905166988,0.005266765809186,0.0011776846370911,-0.0004077197911921,0.0045221247566857,0.3906007134698752,0.4502923976608187,0.0970001220703125,0.093564486620427,0.6,0.7760009765625,0.7485158929634164
HAR,LR,One-shot,Permutation,accuracy,proposed_higher,matched_within_seed,556,560,20,0.0013761633136774,0.0020115117843593,0.0042596121635567,0.0009524782355497,-0.0006173965446286,0.0033697231719834,0.3230724443533211,0.3333333333333333,0.1647186279296875,0.2273852697037326,0.6,1.0,1.0
